13c	29.09.1986	28.09.1987	717840	4389007	-9999	-22	1								
13d	29.09.1986	28.09.1987	718096	4388792	-9999	-25	1								
13e	29.09.1986	28.09.1987	718136	4388684	-9999	12	1								
13f	29.09.1986	28.09.1987	718159	4388528	-9999	13	1								
13g	29.09.1986	28.09.1987	718201	4388352	-9999	46	1								
13h	29.09.1986	28.09.1987	718263	4388208	-9999	52	1								
13i	29.09.1986	28.09.1987	718284	4388110	-9999	55	1								
13j	29.09.1986	28.09.1987	718267	4387943	-9999	89	1								
13k	29.09.1986	28.09.1987	718282	4387620	-9999	100	1								
13l	29.09.1986	28.09.1987	718380	4387391	-9999	79	1								
13m	29.09.1986	28.09.1987	718475	4387163	-9999	134	1								
1a	29.09.1987	28.09.1988	720632	4392539	-9999	-400	1								
1b	29.09.1987	28.09.1988	720535	4392558	-9999	-441	1								
1c	29.09.1987	28.09.1988	720428	4392587	-9999	-351	1								
1d	29.09.1987	28.09.1988	720341	4392607	-9999	-459	1								
1e	29.09.1987	28.09.1988	720241	4392628	-9999	-396	1								
1f	29.09.1987	28.09.1988	720146	4392646	-9999	-393	1								
1g	29.09.1987	28.09.1988	720059	4392665	-9999	-477	1								
2a	29.09.1987	28.09.1988	720329	4391276	-9999	-331	1								
2b	29.09.1987	28.09.1988	720251	4391285	-9999	-364	1								
2c	29.09.1987	28.09.1988	720154	4391285	-9999	-321	1								
2d	29.09.1987	28.09.1988	720067	4391294	-9999	-328	1								
2e	29.09.1987	28.09.1988	719970	4391294	-9999	-310	1								
2f	29.09.1987	28.09.1988	719882	4391293	-9999	-313	1								
2g	29.09.1987	28.09.1988	719775	4391293	-9999	-292	1								
2h	29.09.1987	28.09.1988	719678	4391302	-9999	-274	1								
2i	29.09.1987	28.09.1988	719590	4391302	-9999	-248	1								
3b	29.09.1987	28.09.1988	720271	4390056	-9999	-292	1								
3c	29.09.1987	28.09.1988	720194	4390066	-9999	-214	1								
3d	29.09.1987	28.09.1988	720106	4390065	-9999	-277	1								
3e	29.09.1987	28.09.1988	720019	4390074	-9999	-245	1								
3f	29.09.1987	28.09.1988	719921	4390083	-9999	-227	1								
3g	29.09.1987	28.09.1988	719805	4390092	-9999	-220	1								
3h	29.09.1987	28.09.1988	719727	4390101	-9999	-230	1								
3i	29.09.1987	28.09.1988	719649	4390101	-9999	-184	1								
3j	29.09.1987	28.09.1988	719532	4390110	-9999	-196	1								
3k	29.09.1987	28.09.1988	719434	4390119	-9999	-272	1								
3l	29.09.1987	28.09.1988	719337	4390118	-9999	-219	1								
4c	29.09.1987	28.09.1988	720264	4389344	-9999	-146	1								
4d	29.09.1987	28.09.1988	720197	4389295	-9999	-200	1								
4f	29.09.1987	28.09.1988	720101	4389216	-9999	-148	1								
4g	29.09.1987	28.09.1988	720024	4389147	-9999	-112	1								
4h	29.09.1987	28.09.1988	719957	4389097	-9999	-122	1								
4i	29.09.1987	28.09.1988	719823	4388979	-9999	-122	1								
4j	29.09.1987	28.09.1988	719727	4388900	-9999	-121	1								
4k	29.09.1987	28.09.1988	719669	4388850	-9999	-148	1								
4l	29.09.1987	28.09.1988	719583	4388791	-9999	-126	1								
4m	29.09.1987	28.09.1988	719506	4388722	-9999	-132	1								
4n	29.09.1987	28.09.1988	719439	4388652	-9999	-39	1								
4o	29.09.1987	28.09.1988	719381	4388603	-9999	-2	1								
4p	29.09.1987	28.09.1988	719304	4388543	-9999	-7	1								
4q	29.09.1987	28.09.1988	719246	4388484	-9999	-52	1								
5b	29.09.1987	28.09.1988	718499	4389273	-9999	-133	1								
5c	29.09.1987	28.09.1988	718520	4389215	-9999	-118	1								
5d	29.09.1987	28.09.1988	718541	4389127	-9999	-104	1								
5e	29.09.1987	28.09.1988	718562	4389039	-9999	-118	1								
5f	29.09.1987	28.09.1988	718583	4388961	-9999	-111	1								
5g	29.09.1987	28.09.1988	718594	4388882	-9999	-123	1								
5h	29.09.1987	28.09.1988	718614	4388804	-9999	-84	1								
5i	29.09.1987	28.09.1988	718636	4388706	-9999	-42	1								
5j	29.09.1987	28.09.1988	718656	4388628	-9999	-50	1								
5k	29.09.1987	28.09.1988	718668	4388501	-9999	4	1								
6a	29.09.1987	28.09.1988	721433	4387681	-9999	19	1								
6b	29.09.1987	28.09.1988	721328	4387651	-9999	-18	1								
6c	29.09.1987	28.09.1988	721241	4387630	-9999	-3	1								
6d	29.09.1987	28.09.1988	721116	4387589	-9999	-7	1								
6e	29.09.1987	28.09.1988	720972	4387558	-9999	17	1								
6g	29.09.1987	28.09.1988	720731	4387496	-9999	32	1								
6h	29.09.1987	28.09.1988	720615	4387466	-9999	77	1								
6i	29.09.1987	28.09.1988	720460	4387424	-9999	47	1								
6j	29.09.1987	28.09.1988	720373	4387404	-9999	77	1								
6l	29.09.1987	28.09.1988	720016	4387291	-9999	47	1								
6m	29.09.1987	28.09.1988	720026	4387281	-9999	50	1								
6n	29.09.1987	28.09.1988	719929	4387251	-9999	72	1								
7c	29.09.1987	28.09.1988	720651	4392873	-9999	-490	1								
7d	29.09.1987	28.09.1988	720528	4392723	-9999	-455	1								
7e	29.09.1987	28.09.1988	720428	4392587	-9999	-351	1								
7f	29.09.1987	28.09.1988	720314	4392385	-9999	-434	1								
7g	29.09.1987	28.09.1988	720211	4392199	-9999	-466	1								
7h	29.09.1987	28.09.1988	720149	4392080	-9999	-492	1								
7i	29.09.1987	28.09.1988	720069	4391936	-9999	-409	1								
7j	29.09.1987	28.09.1988	719966	4391721	-9999	-380	1								
7k	29.09.1987	28.09.1988	720055	4391421	-9999	-340	1								
7l	29.09.1987	28.09.1988	719882	4391303	-9999	-313	1								
7m	29.09.1987	28.09.1988	719887	4390991	-9999	-337	1								
7n	29.09.1987	28.09.1988	719890	4390805	-9999	-310	1								
7o	29.09.1987	28.09.1988	719893	4390639	-9999	-256	1								
7p	29.09.1987	28.09.1988	719857	4390464	-9999	-250	1								
7q	29.09.1987	28.09.1988	719821	4390288	-9999	-255	1								
7r	29.09.1987	28.09.1988	719760	4389867	-9999	-233	1								
7s	29.09.1987	28.09.1988	719631	4389425	-9999	-220	1								
7t	29.09.1987	28.09.1988	719535	4389299	-9999	-248	1								
7u	29.09.1987	28.09.1988	719461	4389063	-9999	-168	1								
7v	29.09.1987	28.09.1988	719355	4388859	-9999	-144	1								
7w	29.09.1987	28.09.1988	719359	4388859	-9999	-194	1								
7x	29.09.1987	28.09.1988	719352	4388852	-9999	-160	1								
8a	29.09.1987	28.09.1988	719653	4386339	-9999	155	1								
8b	29.09.1987	28.09.1988	719878	4386312	-9999	221	1								
8c	29.09.1987	28.09.1988	720061	4386273	-9999	139	1								
8d	29.09.1987	28.09.1988	720203	4386249	-9999	130	1								
8e	29.09.1987	28.09.1988	720330	4386194	-9999	127	1								
8f	29.09.1987	28.09.1988	720637	4386149	-9999	105	1								
8g	29.09.1987	28.09.1988	720831	4386094	-9999	106	1								
8h	29.09.1987	28.09.1988	721055	4386042	-9999	118	1								
9a	29.09.1987	28.09.1988	719468	4386185	-9999	150	1								
9b	29.09.1987	28.09.1988	719469	4386078	-9999	162	1								
9c	29.09.1987	28.09.1988	719471	4385970	-9999	176	1								
9d	29.09.1987	28.09.1988	719453	4385891	-9999	175	1								
10a	29.09.1987	28.09.1988	719387	4386472	-9999	159	1								
10b	29.09.1987	28.09.1988	719347	4386530	-9999	179	1								
10d	29.09.1987	28.09.1988	719308	4386578	-9999	189	1								
10e	29.09.1987	28.09.1988	719267	4386646	-9999	174	1								
11c	29.09.1987	28.09.1988	719183	4389315	-9999	-145	1								
11d	29.09.1987	28.09.1988	719039	4389206	-9999	-140	1								
11e	29.09.1987	28.09.1988	718904	4389136	-9999	-163	1								
11f	29.09.1987	28.09.1988	718758	4389047	-9999	-143	1								
11g	29.09.1987	28.09.1988	718544	4388941	-9999	-110	1								
11h	29.09.1987	28.09.1988	718386	4388900	-9999	-113	1								
11i	29.09.1987	28.09.1988	718078	4388799	-9999	-126	1								
11j	29.09.1987	28.09.1988	717870	4388783	-9999	-121	1								
11k	29.09.1987	28.09.1988	717733	4388781	-9999	-76	1								
11l	29.09.1987	28.09.1988	717623	4388755	-9999	-73	1								
11m	29.09.1987	28.09.1988	717492	4388727	-9999	-47	1								
11n	29.09.1987	28.09.1988	717304	4388696	-9999	-67	1								
11o	29.09.1987	28.09.1988	717232	4388685	-9999	14	1								
11p	29.09.1987	28.09.1988	717038	4388673	-9999	39	1								
11q	29.09.1987	28.09.1988	716968	4388688	-9999	109	1								
11r	29.09.1987	28.09.1988	716870	4388647	-9999	69	1								
11s	29.09.1987	28.09.1988	716752	4388597	-9999	82	1								
11v	29.09.1987	28.09.1988	716171	4388509	-9999	116	1								
11y	29.09.1987	28.09.1988	714998	4388430	-9999	127	1								
12c	29.09.1987	28.09.1988	719921	4388951	-9999	-71	1								
12d	29.09.1987	28.09.1988	720020	4388786	-9999	-96	1								
12e	29.09.1987	28.09.1988	720122	4388678	-9999	-96	1								
12m	29.09.1987	28.09.1988	720828	4386874	-9999	87	1								
12n	29.09.1987	28.09.1988	720773	4386688	-9999	109	1								
12o	29.09.1987	28.09.1988	720738	4386472	-9999	103	1								
12r	29.09.1987	28.09.1988	720489	4385716	-9999	99	1								
13b	29.09.1987	28.09.1988	717728	4389090	-9999	-78	1								
13e	29.09.1987	28.09.1988	718136	4388684	-9999	-58	1								
13f	29.09.1987	28.09.1988	718159	4388528	-9999	-66	1								
13g	29.09.1987	28.09.1988	718201	4388352	-9999	-57	1								
13h	29.09.1987	28.09.1988	718263	4388208	-9999	-34	1								
13j	29.09.1987	28.09.1988	718267	4387943	-9999	39	1								
13k	29.09.1987	28.09.1988	718282	4387620	-9999	102	1								
13l	29.09.1987	28.09.1988	718380	4387391	-9999	122	1								
13m	29.09.1987	28.09.1988	718475	4387163	-9999	133	1								
1a	29.09.1988	28.09.1989	720632	4392539	-9999	-277	1								
1b	29.09.1988	28.09.1989	720535	4392558	-9999	-363	1								
1c	29.09.1988	28.09.1989	720428	4392587	-9999	-275	1								
1d	29.09.1988	28.09.1989	720341	4392607	-9999	-377	1								
1e	29.09.1988	28.09.1989	720241	4392628	-9999	-323	1								
1f	29.09.1988	28.09.1989	720146	4392646	-9999	-283	1								
1g	29.09.1988	28.09.1989	720059	4392665	-9999	-270	1								
2a	29.09.1988	28.09.1989	720329	4391276	-9999	-378	1								
2b	29.09.1988	28.09.1989	720251	4391285	-9999	-300	1								
2c	29.09.1988	28.09.1989	720154	4391285	-9999	-267	1								
2d	29.09.1988	28.09.1989	720067	4391294	-9999	-248	1								
2e	29.09.1988	28.09.1989	719970	4391294	-9999	-272	1								
2f	29.09.1988	28.09.1989	719882	4391293	-9999	-257	1								
2g	29.09.1988	28.09.1989	719775	4391293	-9999	-256	1								
2h	29.09.1988	28.09.1989	719678	4391302	-9999	-225	1								
2i	29.09.1988	28.09.1989	719590	4391302	-9999	-215	1								
3b	29.09.1988	28.09.1989	720271	4390056	-9999	-233	1								
3c	29.09.1988	28.09.1989	720194	4390066	-9999	-231	1								
3d	29.09.1988	28.09.1989	720106	4390065	-9999	-187	1								
3e	29.09.1988	28.09.1989	720019	4390074	-9999	-166	1								
3f	29.09.1988	28.09.1989	719921	4390083	-9999	-224	1								
3g	29.09.1988	28.09.1989	719805	4390092	-9999	-183	1								
3h	29.09.1988	28.09.1989	719727	4390101	-9999	-192	1								
3i	29.09.1988	28.09.1989	719649	4390101	-9999	-191	1								
3j	29.09.1988	28.09.1989	719532	4390110	-9999	-156	1								
3k	29.09.1988	28.09.1989	719434	4390119	-9999	-212	1								
4c	29.09.1988	28.09.1989	720264	4389344	-9999	-183	1								
4e	29.09.1988	28.09.1989	720139	4389246	-9999	-128	1								
4g	29.09.1988	28.09.1989	720024	4389147	-9999	-84	1								
4i	29.09.1988	28.09.1989	719823	4388979	-9999	-87	1								
4k	29.09.1988	28.09.1989	719669	4388850	-9999	-112	1								
4m	29.09.1988	28.09.1989	719506	4388722	-9999	-119	1								
4o	29.09.1988	28.09.1989	719381	4388603	-9999	-55	1								
4q	29.09.1988	28.09.1989	719246	4388484	-9999	-54	1								
5b	29.09.1988	28.09.1989	718499	4389273	-9999	-157	1								
5c	29.09.1988	28.09.1989	718520	4389215	-9999	-119	1								
5d	29.09.1988	28.09.1989	718541	4389127	-9999	-119	1								
5e	29.09.1988	28.09.1989	718562	4389039	-9999	-114	1								
5f	29.09.1988	28.09.1989	718583	4388961	-9999	-96	1								
5g	29.09.1988	28.09.1989	718594	4388882	-9999	-94	1								
5h	29.09.1988	28.09.1989	718614	4388804	-9999	-85	1								
5i	29.09.1988	28.09.1989	718636	4388706	-9999	-68	1								
5j	29.09.1988	28.09.1989	718656	4388628	-9999	-57	1								
5k	29.09.1988	28.09.1989	718668	4388501	-9999	-14	1								
6a	29.09.1988	28.09.1989	721433	4387681	-9999	-39	1								
6b	29.09.1988	28.09.1989	721328	4387651	-9999	-26	1								
6c	29.09.1988	28.09.1989	721241	4387630	-9999	-30	1								
6d	29.09.1988	28.09.1989	721116	4387589	-9999	-21	1								
6e	29.09.1988	28.09.1989	720972	4387558	-9999	-20	1								
6f	29.09.1988	28.09.1989	720875	4387537	-9999	-26	1								
6g	29.09.1988	28.09.1989	720731	4387496	-9999	-13	1								
6h	29.09.1988	28.09.1989	720615	4387466	-9999	36	1								
6i	29.09.1988	28.09.1989	720460	4387424	-9999	19	1								
6j	29.09.1988	28.09.1989	720373	4387404	-9999	14	1								
6k	29.09.1988	28.09.1989	720258	4387363	-9999	8	1								
6l	29.09.1988	28.09.1989	720016	4387291	-9999	8	1								
6m	29.09.1988	28.09.1989	720026	4387281	-9999	5	1								
6n	29.09.1988	28.09.1989	719929	4387251	-9999	-13	1								
7e	29.09.1988	28.09.1989	720428	4392587	-9999	-275	1								
7f	29.09.1988	28.09.1989	720314	4392385	-9999	-373	1								
7g	29.09.1988	28.09.1989	720211	4392199	-9999	-347	1								
7h	29.09.1988	28.09.1989	720149	4392080	-9999	-388	1								
7i	29.09.1988	28.09.1989	720069	4391936	-9999	-360	1								
7j	29.09.1988	28.09.1989	719966	4391721	-9999	-288	1								
7k	29.09.1988	28.09.1989	720055	4391421	-9999	-289	1								
7l	29.09.1988	28.09.1989	719882	4391303	-9999	-257	1								
7m	29.09.1988	28.09.1989	719887	4390991	-9999	-266	1								
7n	29.09.1988	28.09.1989	719890	4390805	-9999	-209	1								
7o	29.09.1988	28.09.1989	719893	4390639	-9999	-222	1								
